geoid,state_fips,state_name,county_fips,county_name,is_rural_qrof,income_level,cra_track,cra_label
01001020700,01,Alabama,01001,Autauga County,True,M,1,Moderate Income
01001021100,01,Alabama,01001,Autauga County,True,M,1,Moderate Income
01003010600,01,Alabama,01003,Baldwin County,True,M,1,Moderate Income
01003010906,01,Alabama,01003,Baldwin County,True,M,1,Moderate Income
01005950200,01,Alabama,01005,Barbour County,True,Middle,2,Middle Income — Distressed/Underserved
01005950400,01,Alabama,01005,Barbour County,True,M,1,Moderate Income
01005950500,01,Alabama,01005,Barbour County,True,Middle,2,Middle Income — Distressed/Underserved
01005950600,01,Alabama,01005,Barbour County,True,L,1,Low Income
01005950700,01,Alabama,01005,Barbour County,True,Middle,2,Middle Income — Distressed/Underserved
01005950800,01,Alabama,01005,Barbour County,True,M,1,Moderate Income
01005950900,01,Alabama,01005,Barbour County,True,M,1,Moderate Income
01009050106,01,Alabama,01009,Blount County,True,M,1,Moderate Income
01009050501,01,Alabama,01009,Blount County,True,M,1,Moderate Income
01011952100,01,Alabama,01011,Bullock County,True,Middle,2,Middle Income — Distressed/Underserved
01011952201,01,Alabama,01011,Bullock County,True,Middle,2,Middle Income — Distressed/Underserved
01011952202,01,Alabama,01011,Bullock County,True,L,1,Low Income
01011952500,01,Alabama,01011,Bullock County,True,Middle,2,Middle Income — Distressed/Underserved
01013952700,01,Alabama,01013,Butler County,True,Middle,2,Middle Income — Distressed/Underserved
01013952900,01,Alabama,01013,Butler County,True,Middle,2,Middle Income — Distressed/Underserved
01013953100,01,Alabama,01013,Butler County,True,M,1,Moderate Income
01013953200,01,Alabama,01013,Butler County,True,Middle,2,Middle Income — Distressed/Underserved
01013953300,01,Alabama,01013,Butler County,True,Middle,2,Middle Income — Distressed/Underserved
01015000200,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01015000300,01,Alabama,01015,Calhoun County,True,L,1,Low Income
01015000400,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01015000600,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01015001102,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01015001300,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01015002101,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01015002105,01,Alabama,01015,Calhoun County,True,M,1,Moderate Income
01017953800,01,Alabama,01017,Chambers County,True,M,1,Moderate Income
01017953900,01,Alabama,01017,Chambers County,True,Middle,2,Middle Income — Distressed/Underserved
01017954002,01,Alabama,01017,Chambers County,True,Middle,2,Middle Income — Distressed/Underserved
01017954600,01,Alabama,01017,Chambers County,True,M,1,Moderate Income
01017954700,01,Alabama,01017,Chambers County,True,Middle,2,Middle Income — Distressed/Underserved
01017954800,01,Alabama,01017,Chambers County,True,Middle,2,Middle Income — Distressed/Underserved
01019955701,01,Alabama,01019,Cherokee County,True,Middle,2,Middle Income — Distressed/Underserved
01019956101,01,Alabama,01019,Cherokee County,True,Middle,2,Middle Income — Distressed/Underserved
01023956700,01,Alabama,01023,Choctaw County,True,Middle,2,Middle Income — Distressed/Underserved
01023956900,01,Alabama,01023,Choctaw County,True,Middle,2,Middle Income — Distressed/Underserved
01025957603,01,Alabama,01025,Clarke County,True,Middle,2,Middle Income — Distressed/Underserved
01025957700,01,Alabama,01025,Clarke County,True,M,1,Moderate Income
01025957902,01,Alabama,01025,Clarke County,True,Middle,2,Middle Income — Distressed/Underserved
01025958003,01,Alabama,01025,Clarke County,True,Middle,2,Middle Income — Distressed/Underserved
01027959000,01,Alabama,01027,Clay County,True,M,1,Moderate Income
01027959100,01,Alabama,01027,Clay County,True,Middle,2,Middle Income — Distressed/Underserved
01031011300,01,Alabama,01031,Coffee County,True,M,1,Moderate Income
01033020100,01,Alabama,01033,Colbert County,True,M,1,Moderate Income
01033020300,01,Alabama,01033,Colbert County,True,L,1,Low Income
01033020705,01,Alabama,01033,Colbert County,True,M,1,Moderate Income
01033021000,01,Alabama,01033,Colbert County,True,M,1,Moderate Income
01035960300,01,Alabama,01035,Conecuh County,True,Middle,2,Middle Income — Distressed/Underserved
01035960400,01,Alabama,01035,Conecuh County,True,Middle,2,Middle Income — Distressed/Underserved
01035960500,01,Alabama,01035,Conecuh County,True,Middle,2,Middle Income — Distressed/Underserved
01035960600,01,Alabama,01035,Conecuh County,True,M,1,Moderate Income
01037961000,01,Alabama,01037,Coosa County,True,Middle,2,Middle Income — Distressed/Underserved
01039961700,01,Alabama,01039,Covington County,True,Middle,2,Middle Income — Distressed/Underserved
01039961800,01,Alabama,01039,Covington County,True,Middle,2,Middle Income — Distressed/Underserved
01039962000,01,Alabama,01039,Covington County,True,Middle,2,Middle Income — Distressed/Underserved
01039962500,01,Alabama,01039,Covington County,True,M,1,Moderate Income
01039962600,01,Alabama,01039,Covington County,True,M,1,Moderate Income
01039962700,01,Alabama,01039,Covington County,True,M,1,Moderate Income
01039962800,01,Alabama,01039,Covington County,True,Middle,2,Middle Income — Distressed/Underserved
01041963700,01,Alabama,01041,Crenshaw County,True,Middle,2,Middle Income — Distressed/Underserved
01045020500,01,Alabama,01045,Dale County,True,M,1,Moderate Income
01045020700,01,Alabama,01045,Dale County,True,L,1,Low Income
01045020801,01,Alabama,01045,Dale County,True,Middle,2,Middle Income — Distressed/Underserved
01045021102,01,Alabama,01045,Dale County,True,M,1,Moderate Income
01045021400,01,Alabama,01045,Dale County,False,Middle,2,Middle Income — Distressed/Underserved
01047956101,01,Alabama,01047,Dallas County,True,Middle,2,Middle Income — Distressed/Underserved
01047956202,01,Alabama,01047,Dallas County,True,Middle,2,Middle Income — Distressed/Underserved
01047956300,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01047956400,01,Alabama,01047,Dallas County,True,L,1,Low Income
01047956500,01,Alabama,01047,Dallas County,True,L,1,Low Income
01047956600,01,Alabama,01047,Dallas County,True,Middle,2,Middle Income — Distressed/Underserved
01047956702,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01047956900,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01047957000,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01047957100,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01047957200,01,Alabama,01047,Dallas County,True,Middle,2,Middle Income — Distressed/Underserved
01047957301,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01047957302,01,Alabama,01047,Dallas County,True,M,1,Moderate Income
01049960101,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049960102,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049960200,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049960302,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049960701,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049960703,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049960800,01,Alabama,01049,DeKalb County,True,M,1,Moderate Income
01049960900,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049961000,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01049961300,01,Alabama,01049,DeKalb County,True,M,1,Moderate Income
01049961400,01,Alabama,01049,DeKalb County,True,Middle,2,Middle Income — Distressed/Underserved
01051031200,01,Alabama,01051,Elmore County,True,M,1,Moderate Income
01053969801,01,Alabama,01053,Escambia County,True,Middle,2,Middle Income — Distressed/Underserved
01053969802,01,Alabama,01053,Escambia County,True,Middle,2,Middle Income — Distressed/Underserved
01053970200,01,Alabama,01053,Escambia County,True,Middle,2,Middle Income — Distressed/Underserved
01053970300,01,Alabama,01053,Escambia County,True,M,1,Moderate Income
01053970600,01,Alabama,01053,Escambia County,True,L,1,Low Income
01053970700,01,Alabama,01053,Escambia County,True,M,1,Moderate Income
01055000200,01,Alabama,01055,Etowah County,True,M,1,Moderate Income
01055000300,01,Alabama,01055,Etowah County,True,L,1,Low Income
01055000500,01,Alabama,01055,Etowah County,True,M,1,Moderate Income
01055000600,01,Alabama,01055,Etowah County,True,M,1,Moderate Income
01055000700,01,Alabama,01055,Etowah County,True,L,1,Low Income
01055000800,01,Alabama,01055,Etowah County,True,M,1,Moderate Income
01055001000,01,Alabama,01055,Etowah County,True,M,1,Moderate Income
01055001300,01,Alabama,01055,Etowah County,True,L,1,Low Income
01057020200,01,Alabama,01057,Fayette County,True,Middle,2,Middle Income — Distressed/Underserved
01057020300,01,Alabama,01057,Fayette County,True,Middle,2,Middle Income — Distressed/Underserved
01057020400,01,Alabama,01057,Fayette County,True,Middle,2,Middle Income — Distressed/Underserved
01059972900,01,Alabama,01059,Franklin County,True,Middle,2,Middle Income — Distressed/Underserved
01059973000,01,Alabama,01059,Franklin County,True,Middle,2,Middle Income — Distressed/Underserved
01059973300,01,Alabama,01059,Franklin County,True,M,1,Moderate Income
01059973400,01,Alabama,01059,Franklin County,True,Middle,2,Middle Income — Distressed/Underserved
01059973600,01,Alabama,01059,Franklin County,True,Middle,2,Middle Income — Distressed/Underserved
01059973701,01,Alabama,01059,Franklin County,True,L,1,Low Income
01061050300,01,Alabama,01061,Geneva County,True,M,1,Moderate Income
01063060000,01,Alabama,01063,Greene County,True,L,1,Low Income
01063060101,01,Alabama,01063,Greene County,True,M,1,Moderate Income
01063060102,01,Alabama,01063,Greene County,True,M,1,Moderate Income
01063060200,01,Alabama,01063,Greene County,True,M,1,Moderate Income
01065040401,01,Alabama,01065,Hale County,True,L,1,Low Income
01067030300,01,Alabama,01067,Henry County,True,M,1,Moderate Income
01069040302,01,Alabama,01069,Houston County,False,M,1,Moderate Income
01069040600,01,Alabama,01069,Houston County,False,L,1,Low Income
01069040700,01,Alabama,01069,Houston County,False,M,1,Moderate Income
01069041000,01,Alabama,01069,Houston County,False,M,1,Moderate Income
01069041100,01,Alabama,01069,Houston County,False,M,1,Moderate Income
01069041200,01,Alabama,01069,Houston County,False,L,1,Low Income
01069041400,01,Alabama,01069,Houston County,False,M,1,Moderate Income
01069041500,01,Alabama,01069,Houston County,False,M,1,Moderate Income
01073000100,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073000300,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073000400,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073000500,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073000700,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073000800,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073001100,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073001500,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073001600,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073001902,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073002000,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073002100,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073002200,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073002303,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073002402,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073002900,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073003100,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073003200,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073003300,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073003400,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073003500,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073003600,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073003700,01,Alabama,01073,Jefferson County,False,L,1,Low Income
01073003802,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073003803,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
01073003900,01,Alabama,01073,Jefferson County,False,M,1,Moderate Income
