state_fips,state_name,total_eligible,rural_eligible,pct_rural,max_designations,top10_county_fips,top10_county_name,top10_county_eligible_count
01,Alabama,563,302,53.6,141,01073|01097|01101|01089|01125|01081|01015|01047|01049|01055,Jefferson County|Mobile County|Montgomery County|Madison County|Tuscaloosa County|Lee County|Calhoun County|Dallas County|DeKalb County|Etowah County,85|54|34|26|25|21|16|15|13|13
02,Alaska,32,21,65.6,8,02020|02090|02290|02050|02170|02013|02016|02070|02150|02158,Anchorage Municipality|Fairbanks North Star Borough|Yukon-Koyukuk Census Area|Bethel Census Area|Matanuska-Susitna Borough|Aleutians East Borough|Aleutians West Census Area|Dillingham Census Area|Kodiak Island Borough|Kusilvak Census Area,11|3|3|2|2|1|1|1|1|1
04,Arizona,500,137,27.4,125,04013|04019|04021|04027|04015|04017|04003|04001|04005|04025,Maricopa County|Pima County|Pinal County|Yuma County|Mohave County|Navajo County|Cochise County|Apache County|Coconino County|Yavapai County,238|88|28|24|22|21|15|14|13|13
05,Arkansas,310,216,69.7,78,05119|05143|05069|05035|05051|05031|05145|05093|05131|05091,Pulaski County|Washington County|Jefferson County|Crittenden County|Garland County|Craighead County|White County|Mississippi County|Sebastian County|Miller County,45|19|13|11|11|10|10|9|9|8
06,California,2469,345,14.0,618,06037|06073|06071|06001|06065|06067|06029|06019|06085|06013,Los Angeles County|San Diego County|San Bernardino County|Alameda County|Riverside County|Sacramento County|Kern County|Fresno County|Santa Clara County|Contra Costa County,835|171|133|112|111|106|101|98|89|69
08,Colorado,360,101,28.1,90,08031|08001|08005|08041|08123|08059|08069|08101|08013|08043,Denver County|Adams County|Arapahoe County|El Paso County|Weld County|Jefferson County|Larimer County|Pueblo County|Boulder County|Fremont County,51|43|38|36|21|20|20|18|14|9
09,Connecticut,243,30,12.3,61,09110|09120|09170|09190|09140|09180|09160|09130|09150,Capitol Planning Region|Greater Bridgeport Planning Region|South Central Connecticut Planning Region|Western Connecticut Planning Region|Naugatuck Valley Planning Region|Southeastern Connecticut Planning Region|Northwest Hills Planning Region|Lower Connecticut River Valley Planning Region|Northeastern Connecticut Planning Region,72|41|40|32|25|17|7|5|4
10,Delaware,61,22,36.1,16,10003|10005|10001,New Castle County|Sussex County|Kent County,39|14|8
11,District of Columbia,66,0,0.0,17,11001,District of Columbia,66
12,Florida,1360,284,20.9,340,12086|12011|12057|12095|12031|12099|12105|12101|12103|12071,Miami-Dade County|Broward County|Hillsborough County|Orange County|Duval County|Palm Beach County|Polk County|Pasco County|Pinellas County|Lee County,245|100|95|87|86|71|57|48|47|38
13,Georgia,942,421,44.7,236,13121|13089|13135|13063|13051|13245|13215|13021|13067|13095,Fulton County|DeKalb County|Gwinnett County|Clayton County|Chatham County|Richmond County|Muscogee County|Bibb County|Cobb County|Dougherty County,101|68|62|48|33|30|27|25|24|20
15,Hawaii,88,35,39.8,22,15003|15001|15009|15005,Honolulu County|Hawaii County|Maui County|Kalawao County,68|16|3|1
16,Idaho,80,32,40.0,20,16001|16027|16005|16019|16083|16017|16055|16057|16065|16011,Ada County|Canyon County|Bannock County|Bonneville County|Twin Falls County|Bonner County|Kootenai County|Latah County|Madison County|Bingham County,15|13|8|5|5|4|4|4|4|2
17,Illinois,950,211,22.2,238,17031|17201|17163|17197|17089|17097|17143|17167|17119|17115,Cook County|Winnebago County|St. Clair County|Will County|Kane County|Lake County|Peoria County|Sangamon County|Madison County|Macon County,477|30|27|26|24|24|21|20|19|17
18,Indiana,501,120,24.0,126,18097|18089|18003|18141|18163|18157|18095|18035|18167|18091,Marion County|Lake County|Allen County|St. Joseph County|Vanderburgh County|Tippecanoe County|Madison County|Delaware County|Vigo County|LaPorte County,121|68|31|30|25|19|17|16|13|12
19,Iowa,175,58,33.1,44,19153|19013|19113|19163|19155|19103|19193|19169|19179|19007,Polk County|Black Hawk County|Linn County|Scott County|Pottawattamie County|Johnson County|Woodbury County|Story County|Wapello County|Appanoose County,34|15|14|12|11|10|10|8|6|3
20,Kansas,210,76,36.2,53,20173|20209|20177|20091|20045|20161|20037|20125|20169|20061,Sedgwick County|Wyandotte County|Shawnee County|Johnson County|Douglas County|Riley County|Crawford County|Montgomery County|Saline County|Geary County,52|38|16|12|9|8|7|7|6|5
21,Kentucky,545,381,69.9,137,21111|21067|21195|21199|21117|21071|21121|21151|21227|21047,Jefferson County|Fayette County|Pike County|Pulaski County|Kenton County|Floyd County|Knox County|Madison County|Warren County|Christian County,86|29|17|14|13|12|10|10|10|9
22,Louisiana,620,309,49.8,155,22071|22033|22051|22017|22055|22019|22073|22097|22079|22015,Orleans Parish|East Baton Rouge Parish|Jefferson Parish|Caddo Parish|Lafayette Parish|Calcasieu Parish|Ouachita Parish|St. Landry Parish|Rapides Parish|Bossier Parish,93|53|50|39|26|23|21|21|19|13
23,Maine,78,74,94.9,20,23019|23001|23003|23005|23017|23031|23011|23021|23025|23029,Penobscot County|Androscoggin County|Aroostook County|Cumberland County|Oxford County|York County|Kennebec County|Piscataquis County|Somerset County|Washington County,14|9|9|8|7|7|6|6|6|3
24,Maryland,451,77,17.1,113,24510|24033|24005|24031|24001|24021|24003|24019|24025|24043,Baltimore city|Prince George's County|Baltimore County|Montgomery County|Allegany County|Frederick County|Anne Arundel County|Dorchester County|Harford County|Washington County,138|103|60|49|19|14|9|7|7|7
25,Massachusetts,410,58,14.1,103,25025|25009|25017|25027|25005|25013|25023|25021|25003|25011,Suffolk County|Essex County|Middlesex County|Worcester County|Bristol County|Hampden County|Plymouth County|Norfolk County|Berkshire County|Franklin County,112|56|49|49|46|41|22|8|7|7
26,Michigan,856,251,29.3,214,26163|26049|26099|26125|26161|26081|26065|26077|26145|26025,Wayne County|Genesee County|Macomb County|Oakland County|Washtenaw County|Kent County|Ingham County|Kalamazoo County|Saginaw County|Calhoun County,333|56|45|34|34|32|31|25|25|15
27,Minnesota,289,107,37.0,73,27053|27123|27003|27137|27145|27061|27037|27109|27095|27007,Hennepin County|Ramsey County|Anoka County|St. Louis County|Stearns County|Itasca County|Dakota County|Olmsted County|Mille Lacs County|Beltrami County,73|45|21|16|9|8|7|6|5|4
